Sept. 7, 2022   15:39:14
Linear Sweep Voltammetry
File: f:\2-Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1
Comp R (ohm) = 1.2


Potential/V, Current/A

0.251, -4.380e-3
0.252, -4.375e-3
0.253, -4.376e-3
0.254, -4.381e-3
0.255, -4.376e-3
0.256, -4.373e-3
0.257, -4.379e-3
0.258, -4.378e-3
0.259, -4.374e-3
0.260, -4.375e-3
0.261, -4.384e-3
0.262, -4.375e-3
0.263, -4.377e-3
0.264, -4.377e-3
0.265, -4.375e-3
0.266, -4.376e-3
0.267, -4.371e-3
0.268, -4.368e-3
0.269, -4.374e-3
0.270, -4.376e-3
0.271, -4.368e-3
0.272, -4.368e-3
0.273, -4.362e-3
0.274, -4.370e-3
0.275, -4.366e-3
0.276, -4.361e-3
0.277, -4.365e-3
0.278, -4.369e-3
0.279, -4.370e-3
0.280, -4.360e-3
0.281, -4.367e-3
0.282, -4.368e-3
0.283, -4.366e-3
0.284, -4.360e-3
0.285, -4.356e-3
0.286, -4.355e-3
0.287, -4.359e-3
0.288, -4.363e-3
0.289, -4.363e-3
0.290, -4.358e-3
0.291, -4.350e-3
0.292, -4.357e-3
0.293, -4.366e-3
0.294, -4.364e-3
0.295, -4.366e-3
0.296, -4.361e-3
0.297, -4.361e-3
0.298, -4.358e-3
0.299, -4.357e-3
0.300, -4.356e-3
0.301, -4.351e-3
0.302, -4.355e-3
0.303, -4.358e-3
0.304, -4.355e-3
0.305, -4.362e-3
0.306, -4.354e-3
0.307, -4.353e-3
0.308, -4.357e-3
0.309, -4.352e-3
0.310, -4.356e-3
0.311, -4.350e-3
0.312, -4.348e-3
0.313, -4.347e-3
0.314, -4.346e-3
0.315, -4.338e-3
0.316, -4.345e-3
0.317, -4.340e-3
0.318, -4.341e-3
0.319, -4.348e-3
0.320, -4.348e-3
0.321, -4.346e-3
0.322, -4.343e-3
0.323, -4.345e-3
0.324, -4.344e-3
0.325, -4.347e-3
0.326, -4.347e-3
0.327, -4.344e-3
0.328, -4.335e-3
0.329, -4.343e-3
0.330, -4.340e-3
0.331, -4.338e-3
0.332, -4.333e-3
0.333, -4.328e-3
0.334, -4.322e-3
0.335, -4.314e-3
0.336, -4.311e-3
0.337, -4.294e-3
0.338, -4.296e-3
0.339, -4.284e-3
0.340, -4.296e-3
0.341, -4.271e-3
0.342, -4.244e-3
0.343, -4.214e-3
0.344, -4.167e-3
0.345, -4.135e-3
0.346, -4.120e-3
0.347, -4.104e-3
0.348, -4.094e-3
0.349, -4.083e-3
0.350, -4.071e-3
0.351, -4.060e-3
0.352, -4.052e-3
0.353, -4.041e-3
0.354, -4.028e-3
0.355, -4.020e-3
0.356, -4.007e-3
0.357, -3.995e-3
0.358, -3.980e-3
0.359, -3.964e-3
0.360, -3.951e-3
0.361, -3.941e-3
0.362, -3.933e-3
0.363, -3.921e-3
0.364, -3.908e-3
0.365, -3.891e-3
0.366, -3.874e-3
0.367, -3.869e-3
0.368, -3.857e-3
0.369, -3.845e-3
0.370, -3.831e-3
0.371, -3.821e-3
0.372, -3.808e-3
0.373, -3.799e-3
0.374, -3.779e-3
0.375, -3.769e-3
0.376, -3.760e-3
0.377, -3.762e-3
0.378, -3.758e-3
0.379, -3.736e-3
0.380, -3.744e-3
0.381, -3.736e-3
0.382, -3.715e-3
0.383, -3.714e-3
0.384, -3.713e-3
0.385, -3.711e-3
0.386, -3.719e-3
0.387, -3.720e-3
0.388, -3.728e-3
0.389, -3.746e-3
0.390, -3.765e-3
0.391, -3.765e-3
0.392, -3.794e-3
0.393, -3.827e-3
0.394, -3.834e-3
0.395, -3.842e-3
0.396, -3.851e-3
0.397, -3.829e-3
0.398, -3.814e-3
0.399, -3.818e-3
0.400, -3.818e-3
0.401, -3.792e-3
0.402, -3.782e-3
0.403, -3.777e-3
